timestamp_utc,species_id,ru_name,latin_name,modality,local_file,source_url,license,source_name
2026-05-05T09:07:04Z,SP009,Обыкновенный зяблик,Fringilla coelebs,text,data/raw/text/SP009_text_01.txt,https://en.wikipedia.org/wiki/Eurasian_chaffinch,CC BY-SA 4.0 (Wikipedia content),Wikipedia
2026-05-05T09:07:08Z,SP009,Обыкновенный зяблик,Fringilla coelebs,image,data/raw/images/SP009_img_01.jpg,https://commons.wikimedia.org/wiki/File:African_Chaffinch_(Fringilla_spodiogenys)_male_Morocco.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:09Z,SP009,Обыкновенный зяблик,Fringilla coelebs,image,data/raw/images/SP009_img_02.jpg,https://commons.wikimedia.org/wiki/File:Buchfink-Maennchen.Luther-Friedhof.P1067297.jpg,CC0,Wikimedia Commons
2026-05-05T09:07:11Z,SP009,Обыкновенный зяблик,Fringilla coelebs,image,data/raw/images/SP009_img_03.jpg,https://commons.wikimedia.org/wiki/File:Buchfink_(Fringilla_coelebs).jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:12Z,SP009,Обыкновенный зяблик,Fringilla coelebs,audio,data/raw/audio/SP009_aud_01.wav,https://commons.wikimedia.org/wiki/File:Fringilla_coelebs_-_Buchfink22-04.wav,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:13Z,SP009,Обыкновенный зяблик,Fringilla coelebs,audio,data/raw/audio/SP009_aud_02.mp3,https://commons.wikimedia.org/wiki/File:Fringilla_coelebs_-_Common_Chaffinch_XC108344.mp3,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:13Z,SP009,Обыкновенный зяблик,Fringilla coelebs,audio,data/raw/audio/SP009_aud_03.mp3,https://commons.wikimedia.org/wiki/File:Fringilla_coelebs_-_Common_Chaffinch_XC176182.mp3,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:14Z,SP010,Обыкновенный дрозд,Turdus philomelos,text,data/raw/text/SP010_text_01.txt,https://en.wikipedia.org/wiki/Song_thrush,CC BY-SA 4.0 (Wikipedia content),Wikipedia
2026-05-05T09:07:17Z,SP010,Обыкновенный дрозд,Turdus philomelos,image,data/raw/images/SP010_img_01.jpg,"https://commons.wikimedia.org/wiki/File:A_snail_shell_graveyard_around_a_Turdus_philomelos_anvil,_Chapeltoun,_Ayrshire.jpg",CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:18Z,SP010,Обыкновенный дрозд,Turdus philomelos,image,data/raw/images/SP010_img_02.jpg,https://commons.wikimedia.org/wiki/File:Drozd_pevač_(Turdus_philomelos)_Song_Thrush.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:07:18Z,SP010,Обыкновенный дрозд,Turdus philomelos,image,data/raw/images/SP010_img_03.jpg,"https://commons.wikimedia.org/wiki/File:Song_Thrush_(Turdus_philomelos),_Afan_Valley_-_geograph.org.uk_-_1185563.jpg",CC BY-SA 2.0,Wikimedia Commons
2026-05-05T09:07:20Z,SP010,Обыкновенный дрозд,Turdus philomelos,audio,data/raw/audio/SP010_aud_01.wav,"https://commons.wikimedia.org/wiki/File:LL-Q1860_(eng)-Flame,_not_lame-song_thrush.wav",CC0,Wikimedia Commons
2026-05-05T09:07:20Z,SP010,Обыкновенный дрозд,Turdus philomelos,audio,data/raw/audio/SP010_aud_02.mp3,https://commons.wikimedia.org/wiki/File:Singdrossel_Turdus_philomelos_9919-22.mp3,CC BY-SA 3.0,Wikimedia Commons
2026-05-05T09:07:21Z,SP010,Обыкновенный дрозд,Turdus philomelos,audio,data/raw/audio/SP010_aud_03.mp3,https://commons.wikimedia.org/wiki/File:Song_Thrush_singing_-_near_Basel.flac,CC BY-SA 3.0,Wikimedia Commons
2026-05-05T09:31:27Z,SP001,Домовый воробей,Passer domesticus,text,data/raw/text/SP001_text_01.txt,https://en.wikipedia.org/wiki/House_sparrow,CC BY-SA 4.0 (Wikipedia content),Wikipedia
2026-05-05T09:31:29Z,SP001,Домовый воробей,Passer domesticus,image,data/raw/images/SP001_img_01.jpg,https://commons.wikimedia.org/wiki/File:20230830_brown_headed_cowbird_and_house_sparrow_south_meadows_PND01174.jpg,CC BY-SA 4.0,Wikimedia Commons
2026-05-05T09:31:31Z,SP001,Домовый воробей,Passer domesticus,image,data/raw/images/SP001_img_02.jpg,"https://commons.wikimedia.org/wiki/File:House_Sparrow,_England_-_May_09.jpg",CC BY-SA 3.0,Wikimedia Commons
2026-05-05T09:31:32Z,SP001,Домовый воробей,Passer domesticus,image,data/raw/images/SP001_img_03.jpg,"https://commons.wikimedia.org/wiki/File:House_Sparrow_(Passer_domesticus),_Wildwood_by_the_Lake,_Morpeth,_Ontario,_2025-07-06.jpg",CC BY-SA 4.0,Wikimedia Commons
