Id;Name;Episodes;Franchise;Kind;Rating;Score;Status;AiredOn;ReleasedOn
207;Lodoss-tou Senki;13;lodoss_tou_senki;ova;r;7.4;released;1990-06-29T20:00:00.0000000Z;1991-11-22T22:00:00.0000000Z
208;R.O.D: Read or Die;3;r_o_d;ova;pg_13;7.66;released;2001-05-22T20:00:00.0000000Z;2002-02-05T21:00:00.0000000Z
209;R.O.D: The TV;26;r_o_d;tv;pg_13;7.55;released;2003-08-31T20:00:00.0000000Z;2004-03-15T21:00:00.0000000Z
210;Ranma ½;161;ranma;tv;r_plus;7.76;released;1989-04-14T20:00:00.0000000Z;1992-09-24T20:00:00.0000000Z
212;Project A-Ko;1;project_a_ko;movie;pg_13;6.86;released;1986-06-20T20:00:00.0000000Z;
215;Pia Carrot e Youkoso!! 2 DX;6;pia_carrot_e_youkoso;ova;pg_13;6.28;released;1999-12-17T21:00:00.0000000Z;2000-10-24T20:00:00.0000000Z
216;Pia Carrot e Youkoso!!: Sayaka no Koi Monogatari;1;pia_carrot_e_youkoso;movie;pg_13;5.92;released;2002-10-18T20:00:00.0000000Z;
218;Kidou Senkan Nadesico;26;gekiganger;tv;pg_13;7.52;released;1996-09-30T20:00:00.0000000Z;1997-03-24T21:00:00.0000000Z
219;Kidou Senkan Nadesico: The Prince of Darkness;1;gekiganger;movie;r;6.77;released;1998-07-31T20:00:00.0000000Z;
222;Mezzo DSA;13;a_kite;tv;r_plus;6.67;released;2004-01-03T21:00:00.0000000Z;2004-03-27T21:00:00.0000000Z
223;Dragon Ball;153;dragon_ball;tv;pg_13;7.99;released;1986-02-25T21:00:00.0000000Z;1989-04-11T20:00:00.0000000Z
225;Dragon Ball GT;64;dragon_ball;tv;pg_13;6.47;released;1996-02-06T21:00:00.0000000Z;1997-11-18T21:00:00.0000000Z
