SourceId;TargetId;Type
34604;33478;other
10628;6050;parent_story
158;444;sequel
158;3468;side_story
444;158;prequel
444;1729;sequel
444;3469;side_story
3468;158;parent_story
1729;444;prequel
1729;2954;side_story
1729;3750;sequel
3469;444;parent_story
2954;1729;parent_story
3750;1729;prequel
3750;6299;side_story
6299;3750;parent_story
161;9568;side_story
161;33185;sequel
9568;161;parent_story
33185;161;prequel
33185;36556;sequel
36556;33185;prequel
165;559;side_story
165;758;alternative_version
165;5288;summary
559;165;parent_story
758;165;alternative_version
5288;165;full_story
168;10592;summary
168;12223;summary
10592;168;full_story
10592;12223;sequel
12223;168;full_story
12223;10592;prequel
169;10012;character
10012;169;character
10012;356;character
10012;12187;side_story
10012;12255;side_story
10012;15927;side_story
10012;22297;character
10012;44248;other
356;6922;alternative_version
356;7559;summary
356;10012;character
356;11741;prequel
356;12565;alternative_version
356;14829;alternative_setting
356;22297;alternative_version
356;25537;alternative_version
356;33047;alternative_setting
356;34321;alternative_setting
356;34662;alternative_setting
356;37033;spin_off
12187;10012;parent_story
12255;10012;parent_story
15927;10012;parent_story
22297;356;alternative_version
22297;6922;alternative_version
22297;10012;character
22297;25537;alternative_version
22297;27821;prequel
22297;28701;sequel
44248;10012;other
44248;34321;other
44248;38084;other
6922;356;alternative_version
6922;11741;prequel
6922;22297;alternative_version
6922;25537;alternative_version
7559;356;full_story
11741;356;sequel
11741;6922;sequel
11741;10087;prequel
11741;13263;side_story
11741;25537;sequel
11741;27821;sequel
12565;356;alternative_version
14829;356;alternative_setting
14829;18851;side_story
14829;19109;side_story
14829;20509;sequel
14829;34100;prequel
14829;38897;other
14829;42030;sequel
25537;356;alternative_version
25537;6922;alternative_version
25537;11741;prequel
25537;22297;alternative_version
25537;33049;sequel
27821;11741;prequel
27821;22297;sequel
28701;22297;prequel
28701;31389;alternative_version
33047;356;alternative_setting
33047;37651;sequel
33047;38784;other
34321;356;alternative_setting
34321;36064;other
34321;36914;other
34321;36915;other
34321;38084;other
34321;38085;other
34321;38086;other
34321;38958;other
34662;36729;summary
37033;356;parent_story
38084;34321;other
38084;36064;other
38084;36914;other
38084;36915;other
38084;38086;prequel
38084;40206;prequel
38084;40761;summary
38084;41497;sequel
38084;44248;other
10087;11741;sequel
10087;13183;summary
10087;13263;side_story
10087;19165;other
10087;38936;character
10087;38959;character
13263;10087;parent_story
13263;11741;parent_story
18851;14829;parent_story
19109;14829;parent_story
20509;14829;prequel
20509;25011;side_story
20509;26057;side_story
20509;27525;sequel
31389;28701;alternative_version
33049;25537;prequel
33049;33050;sequel
34100;14829;sequel
34100;31706;prequel
34100;36833;side_story
36064;34321;other
36064;38084;other
36064;38085;other
36064;38086;other
36729;34662;full_story
36914;34321;other
36914;36915;other
36914;38084;other
36914;38085;other
36914;38086;other
36915;34321;other
36915;36914;other
36915;38084;other
36915;38085;other
36915;38086;other
37651;33047;prequel
38085;34321;other
38085;36064;other
38085;36914;other
38085;36915;other
38085;38084;other
38085;38086;sequel
38086;34321;other
38086;36064;other
38086;36914;other
38086;36915;other
38086;38084;sequel
38086;38085;prequel
38784;33047;other
38897;14829;other
38958;34321;other
40206;38084;sequel
40761;38084;full_story
41497;38084;prequel
42030;14829;other
13183;10087;full_story
19165;10087;other
25011;20509;parent_story
26057;20509;parent_story
27525;20509;prequel
27525;31056;side_story
27525;31706;sequel
31706;27525;prequel
31706;33456;side_story
31706;34100;sequel
